Date,Security,Label,PX_LAST
1997-05-12,UKX Index,FTSE 100,4669.6
1997-05-12,MCX Index,FTSE 250,4526.4
1997-05-12,ASX Index,FTSE All Share,2222.19
1997-05-13,UKX Index,FTSE 100,4691.0
1997-05-13,MCX Index,FTSE 250,4533.0
1997-05-13,ASX Index,FTSE All Share,2230.66
1997-05-14,UKX Index,FTSE 100,4686.9
1997-05-14,MCX Index,FTSE 250,4529.3
1997-05-14,ASX Index,FTSE All Share,2228.79
1997-05-15,UKX Index,FTSE 100,4681.2
1997-05-15,MCX Index,FTSE 250,4521.9
1997-05-15,ASX Index,FTSE All Share,2225.99
1997-05-16,UKX Index,FTSE 100,4693.9
1997-05-16,MCX Index,FTSE 250,4525.7
1997-05-16,ASX Index,FTSE All Share,2230.98
1997-05-19,UKX Index,FTSE 100,4645.2
1997-05-19,MCX Index,FTSE 250,4510.4
1997-05-19,ASX Index,FTSE All Share,2211.91
1997-05-20,UKX Index,FTSE 100,4607.5
1997-05-20,MCX Index,FTSE 250,4489.0
1997-05-20,ASX Index,FTSE All Share,2196.14
1997-05-21,UKX Index,FTSE 100,4642.0
1997-05-21,MCX Index,FTSE 250,4500.4
1997-05-21,ASX Index,FTSE All Share,2209.21
1997-05-22,UKX Index,FTSE 100,4651.8
1997-05-22,MCX Index,FTSE 250,4501.5
1997-05-22,ASX Index,FTSE All Share,2212.7
1997-05-23,UKX Index,FTSE 100,4661.8
1997-05-23,MCX Index,FTSE 250,4506.7
1997-05-23,ASX Index,FTSE All Share,2216.7
1997-05-27,UKX Index,FTSE 100,4681.6
1997-05-27,MCX Index,FTSE 250,4508.0
1997-05-27,ASX Index,FTSE All Share,2223.91
1997-05-28,UKX Index,FTSE 100,4677.5
1997-05-28,MCX Index,FTSE 250,4508.0
1997-05-28,ASX Index,FTSE All Share,2222.4
1997-05-29,UKX Index,FTSE 100,4672.3
1997-05-29,MCX Index,FTSE 250,4508.2
1997-05-29,ASX Index,FTSE All Share,2220.52
1997-05-30,UKX Index,FTSE 100,4621.3
1997-05-30,MCX Index,FTSE 250,4495.8
1997-05-30,ASX Index,FTSE All Share,2200.91
1997-06-02,UKX Index,FTSE 100,4562.8
1997-06-02,MCX Index,FTSE 250,4481.9
1997-06-02,ASX Index,FTSE All Share,2178.68
1997-06-03,UKX Index,FTSE 100,4557.8
1997-06-03,MCX Index,FTSE 250,4462.0
1997-06-03,ASX Index,FTSE All Share,2174.41
1997-06-04,UKX Index,FTSE 100,4557.1
1997-06-04,MCX Index,FTSE 250,4467.8
1997-06-04,ASX Index,FTSE All Share,2174.47
1997-06-05,UKX Index,FTSE 100,4576.2
1997-06-05,MCX Index,FTSE 250,4465.9
1997-06-05,ASX Index,FTSE All Share,2181.08
1997-06-06,UKX Index,FTSE 100,4645.0
1997-06-06,MCX Index,FTSE 250,4473.2
1997-06-06,ASX Index,FTSE All Share,2206.41
1997-06-09,UKX Index,FTSE 100,4686.7
1997-06-09,MCX Index,FTSE 250,4484.1
1997-06-09,ASX Index,FTSE All Share,2222.17
1997-06-10,UKX Index,FTSE 100,4739.6
1997-06-10,MCX Index,FTSE 250,4497.3
1997-06-10,ASX Index,FTSE All Share,2242.16
1997-06-11,UKX Index,FTSE 100,4724.8
1997-06-11,MCX Index,FTSE 250,4506.9
1997-06-11,ASX Index,FTSE All Share,2237.85
1997-06-12,UKX Index,FTSE 100,4757.4
1997-06-12,MCX Index,FTSE 250,4545.2
1997-06-12,ASX Index,FTSE All Share,2252.99
1997-06-13,UKX Index,FTSE 100,4783.1
1997-06-13,MCX Index,FTSE 250,4586.1
1997-06-13,ASX Index,FTSE All Share,2266.11
1997-06-16,UKX Index,FTSE 100,4745.1
1997-06-16,MCX Index,FTSE 250,4557.1
1997-06-16,ASX Index,FTSE All Share,2249.67
1997-06-17,UKX Index,FTSE 100,4682.2
1997-06-17,MCX Index,FTSE 250,4538.0
1997-06-17,ASX Index,FTSE All Share,2225.32
1997-06-18,UKX Index,FTSE 100,4657.0
1997-06-18,MCX Index,FTSE 250,4516.2
1997-06-18,ASX Index,FTSE All Share,2213.78
1997-06-19,UKX Index,FTSE 100,4653.7
1997-06-19,MCX Index,FTSE 250,4492.9
1997-06-19,ASX Index,FTSE All Share,2210.2
1997-06-20,UKX Index,FTSE 100,4593.9
1997-06-20,MCX Index,FTSE 250,4485.0
1997-06-20,ASX Index,FTSE All Share,2187.93
1997-06-23,UKX Index,FTSE 100,4575.8
1997-06-23,MCX Index,FTSE 250,4454.8
1997-06-23,ASX Index,FTSE All Share,2177.79
1997-06-24,UKX Index,FTSE 100,4596.3
1997-06-24,MCX Index,FTSE 250,4447.3
1997-06-24,ASX Index,FTSE All Share,2183.6
1997-06-25,UKX Index,FTSE 100,4640.0
1997-06-25,MCX Index,FTSE 250,4453.5
1997-06-25,ASX Index,FTSE All Share,2199.97
1997-06-26,UKX Index,FTSE 100,4657.9
1997-06-26,MCX Index,FTSE 250,4459.4
1997-06-26,ASX Index,FTSE All Share,2206.71
1997-06-27,UKX Index,FTSE 100,4640.3
1997-06-27,MCX Index,FTSE 250,4446.0
1997-06-27,ASX Index,FTSE All Share,2199.07
1997-06-30,UKX Index,FTSE 100,4604.6
1997-06-30,MCX Index,FTSE 250,4431.3
1997-06-30,ASX Index,FTSE All Share,2184.52
1997-07-01,UKX Index,FTSE 100,4728.3
1997-07-01,MCX Index,FTSE 250,4452.5
1997-07-01,ASX Index,FTSE All Share,2230.43
1997-07-02,UKX Index,FTSE 100,4751.4
1997-07-02,MCX Index,FTSE 250,4471.3
1997-07-02,ASX Index,FTSE All Share,2240.42
1997-07-03,UKX Index,FTSE 100,4831.7
1997-07-03,MCX Index,FTSE 250,4475.2
1997-07-03,ASX Index,FTSE All Share,2269.36
1997-07-04,UKX Index,FTSE 100,4812.8
1997-07-04,MCX Index,FTSE 250,4453.0
1997-07-04,ASX Index,FTSE All Share,2260.61
1997-07-07,UKX Index,FTSE 100,4810.7
1997-07-07,MCX Index,FTSE 250,4426.9
1997-07-07,ASX Index,FTSE All Share,2257.42
1997-07-08,UKX Index,FTSE 100,4758.5
1997-07-08,MCX Index,FTSE 250,4400.8
1997-07-08,ASX Index,FTSE All Share,2236.02
1997-07-09,UKX Index,FTSE 100,4762.4
1997-07-09,MCX Index,FTSE 250,4395.5
1997-07-09,ASX Index,FTSE All Share,2236.64
1997-07-10,UKX Index,FTSE 100,4767.8
