index,sample,robustness_spec,v4_specification,shock,regime,regime_label,horizon,beta_pos,se_pos,pvalue_pos,ci_lower_pos,ci_upper_pos,beta_neg,se_neg,pvalue_neg,ci_lower_neg,ci_upper_neg,nobs,r_squared,return_lags,control_set
ftse250,full,dual_controls,regime_interactions,path,covid_period,COVID onward,5,1.6083967798688785,0.291277624463981,3.354132185013346e-08,1.0374926359194758,2.179300923818281,0.007102902847935036,0.2632240988304507,0.9784723023214265,-0.5088163308597484,0.5230221365556185,7264,0.17772207077310553,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,qt_period,QT onward,5,-1.9425448721635998,0.25931986484021835,6.839147183759973e-14,-2.4508118072504277,-1.434277937076772,0.10145602044191229,0.22887589103818456,0.6575634872883729,-0.34714072599292944,0.5500527668767541,7264,0.17772207077310553,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,baseline,Baseline,6,-0.1213252946906728,0.10319643738902458,0.23972545744221574,-0.32359031197316096,0.08093972259181537,0.14196576851667267,0.10474064686067815,0.17528925047566657,-0.06332589933025651,0.34725743636360185,7263,0.1405786463966613,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,post_qe,Post QE,6,-0.021110456256270435,0.24359954508894738,0.9309413816031343,-0.4985655646306073,0.4563446521180664,-0.1025907862749808,0.11802223962712079,0.3847106154803329,-0.33391437594413753,0.12873280339417592,7263,0.1405786463966613,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,post_super_thursday,Post Super Thursday,6,0.06979436598471586,0.326483242719899,0.830721540196622,-0.5701127897462861,0.7097015217157179,0.38184682648105306,0.22765684478795686,0.09348554902003112,-0.06436058930334237,0.8280542422654484,7263,0.1405786463966613,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,covid_period,COVID onward,6,1.111720407501969,0.29539762955944127,0.0001675711781790307,0.5327410535654642,1.690699761438474,-0.03405753611200568,0.25251189864839924,0.8927107254932362,-0.5289808574628682,0.4608657852388568,7263,0.1405786463966613,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,qt_period,QT onward,6,-1.4944919549179587,0.24928201047089985,2.03252991591347e-09,-1.9830846954409225,-1.005899214394995,0.14164616161201335,0.22636714824838686,0.5314878620194494,-0.30203344895482487,0.5853257721788516,7263,0.1405786463966613,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,baseline,Baseline,7,-0.22369433638258332,0.11390789234718884,0.049551235451034584,-0.44695380538307344,-0.00043486738209319586,0.1456731425576938,0.11702811044229389,0.21321611332677304,-0.08370195390920221,0.37504823902458984,7262,0.1327215329900555,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,post_qe,Post QE,7,0.04716547054283263,0.25477517012885526,0.853130324772641,-0.45219386290972363,0.5465248039953889,-0.07593945232112412,0.1503014506035936,0.6133849176316438,-0.3705302955041676,0.21865139086191934,7262,0.1327215329900555,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,post_super_thursday,Post Super Thursday,7,-0.03727276339173016,0.3446080678709506,0.91386887824335,-0.7127045764187934,0.6381590496353331,0.3839722799623618,0.26288267913787716,0.1441191475040276,-0.13127777114787748,0.8992223310726011,7262,0.1327215329900555,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,covid_period,COVID onward,7,0.8360757942299518,0.33339887443562755,0.012150799437474666,0.18261400033612185,1.4895375881237818,-0.20954833540998224,0.28114435816130334,0.4560657768292872,-0.7605912774061367,0.3414946065861723,7262,0.1327215329900555,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,qt_period,QT onward,7,-1.5291670946839997,0.29859594683261065,3.0361074708552366e-07,-2.1144151504759163,-0.9439190388920828,0.2769993620527504,0.2433522379881245,0.25500979799834533,-0.19997102440397363,0.7539697485094744,7262,0.1327215329900555,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,baseline,Baseline,8,-0.22769439365404323,0.12946972713958899,0.07863374821714773,-0.4814550588476376,0.026066271539551183,0.10678685729295798,0.10461070185563308,0.3073480590854287,-0.09825011834408284,0.3118238329299988,7261,0.12173812410350326,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,post_qe,Post QE,8,0.11907703751109452,0.19671914881643224,0.5449697640744358,-0.2664924941691127,0.5046465691913017,-0.15087823834033923,0.16939172460602,0.37308687427482434,-0.4828860185681384,0.18112954188745997,7261,0.12173812410350326,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,post_super_thursday,Post Super Thursday,8,-0.11031483543106556,0.32659486510346236,0.7355344703095186,-0.7504407710338518,0.5298111001717206,0.23391734677068504,0.2480594803927572,0.345686559481601,-0.252279234799119,0.7201139283404892,7261,0.12173812410350326,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,covid_period,COVID onward,8,1.1696205112810631,0.37530487440267946,0.001830400127249625,0.4340229574518114,1.905218065110315,-0.04458375553503072,0.2700979982559936,0.8688927352006967,-0.5739758321167782,0.4848083210467168,7261,0.12173812410350326,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,qt_period,QT onward,8,-1.8233267395975983,0.3254627098909579,2.115748032249352e-08,-2.4612336509838757,-1.1854198282113209,0.19814157129499668,0.24754234415186097,0.42345877415047495,-0.2870414232426508,0.6833245658326441,7261,0.12173812410350326,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,baseline,Baseline,9,-0.2578941815526366,0.14263888330416344,0.07060313937200231,-0.5374663928287969,0.02167802972352373,0.08938252910924407,0.10733863036193722,0.4050052645149429,-0.12100118640015287,0.299766244618641,7260,0.1098464955583599,5,ftse100+ftse_all_share
ftse250,full,dual_controls,regime_interactions,path,post_qe,Post QE,9,0.19364825489099502,0.18751429999507574,0.30173872828774695,-0.17387977309935343,0.5611762828813435,-0.12900647188442213,0.20126284882519868,0.521532413362048,-0.5234816555818116,0.2654687118129673,7260,0.1098464955583599,5,ftse100+ftse_all_share
