index,sample,robustness_spec,shock,horizon,beta_tightening,se_tightening,pvalue_tightening,ci_lower_tightening,ci_upper_tightening,beta_easing,se_easing,pvalue_easing,ci_lower_easing,ci_upper_easing,asymmetry_test_stat,asymmetry_pvalue,nobs,r_squared,return_lags,control_set
ftse250,full,baseline,qe,16,0.03743499031550263,0.1537273678799551,0.8076061121188309,-0.2638706507292094,0.33874063136021465,0.37108956992812625,0.21344868232129316,0.08211529777909618,-0.047269847421608335,0.7894489872778608,-1.654515032035975,0.09802291163325443,4284,0.00518789954327159,5,own_lags_only
ftse250,full,baseline,qe,17,0.11740477794697986,0.15217082892879924,0.44039121878929344,-0.18085004675346666,0.41565960264742635,0.28852542566161765,0.174919225953389,0.0990497341428403,-0.054316257207024765,0.6313671085302601,-0.9394709888512185,0.34748898049171595,4283,0.0038668763751658064,5,own_lags_only
ftse250,full,baseline,qe,18,0.1515194130438204,0.17218653363934106,0.3788742117485092,-0.18596619288928803,0.48900501897692883,0.3186320261086668,0.18199782220477814,0.07998960864676825,-0.03808370541269834,0.675347757630032,-0.836628655426919,0.402801333188728,4282,0.003642023313015219,5,own_lags_only
ftse250,full,baseline,qe,19,0.14296206074328816,0.17729159124226096,0.4200313592293009,-0.20452945809154333,0.49045357957811964,0.36045263279979634,0.20832798523342108,0.08359150256668638,-0.047870218257708985,0.7687754838573017,-0.9845388528350675,0.32485063790724866,4281,0.004285857605601073,5,own_lags_only
ftse250,full,baseline,qe,20,0.12909883554094864,0.18859618939634382,0.4936436113426472,-0.24054969567588524,0.49874736675778253,0.4506758899778667,0.20869951064077297,0.030815372039364554,0.04162484912195169,0.8597269308337816,-1.3883597110949117,0.16502753814432547,4280,0.005501020155691649,5,own_lags_only
ftse250,full,baseline,target,0,-0.04802439810808769,0.016070135121360653,0.0028041905446130146,-0.07952186294595456,-0.016526933270220805,-0.040004287001470795,0.02511009418439586,0.11112529035557867,-0.08922007160288667,0.009211497599945086,-0.31156382434005686,0.7553720305943301,7269,0.013034516221601677,5,own_lags_only
ftse250,full,baseline,target,1,-0.07055277482632512,0.02482267623086172,0.0044793386504817095,-0.11920522023881408,-0.02190032941383615,-0.020946123248729576,0.027173930848243773,0.44081550979839546,-0.07420702771128737,0.03231478121382822,-1.53525907684427,0.1247202020494979,7268,0.010079739710208813,5,own_lags_only
ftse250,full,baseline,target,2,-0.05678032472911058,0.03497960179845427,0.10453789077861304,-0.12534034425408094,0.011779694795859781,-0.016792440954884143,0.02766311087206171,0.5438285379056136,-0.07101213826412509,0.03742725635435681,-0.9419454828112734,0.34622055223605674,7267,0.005335391743856999,5,own_lags_only
ftse250,full,baseline,target,3,-0.05395048343806367,0.044253121778306106,0.22279335362072128,-0.14068660212354364,0.032785635247416296,-0.09713480450036235,0.039203288546944326,0.01322245583015814,-0.17397325005237324,-0.02029635894835148,0.8155378780532901,0.41476449205496824,7266,0.005371503532081046,5,own_lags_only
ftse250,full,baseline,target,4,-0.04747169848755406,0.053726126235461094,0.37691928179764156,-0.1527749059090578,0.057831508933949685,-0.14906689436218828,0.04568905291288906,0.0011037995535633787,-0.23861743807145083,-0.05951635065292574,1.6618239258170873,0.0965480834990164,7265,0.005017704426296343,5,own_lags_only
ftse250,full,baseline,target,5,-0.0657275348702421,0.06645930952289444,0.3226684587897337,-0.1959877815351152,0.06453271179463099,-0.18538790927800197,0.0582228701382295,0.0014520080389837178,-0.2995047347489318,-0.07127108380707216,1.4990876017150534,0.13385090757240073,7264,0.004093281840414242,5,own_lags_only
ftse250,full,baseline,target,6,-0.08578572274664867,0.0631366655032047,0.17423195503177802,-0.20953358713292985,0.03796214163963253,-0.16864659591342793,0.06937169712202564,0.015054818367226332,-0.3046151222725982,-0.03267806955425767,0.9589207429940861,0.3375986741512821,7263,0.004121357774392376,5,own_lags_only
ftse250,full,baseline,target,7,-0.09757990799493653,0.06716971570195429,0.14629688605474722,-0.22923255077076693,0.034072734780893885,-0.18885233485626715,0.08907842838745225,0.034000302275330435,-0.3634460544956736,-0.014258615216860754,0.8978768271586522,0.3692512200117236,7262,0.004287432344662778,5,own_lags_only
ftse250,full,baseline,target,8,-0.11082753266893734,0.06804974584336121,0.10339238081191718,-0.24420503452192532,0.022549969184050625,-0.2092993885943536,0.08435935139297542,0.013099765279453876,-0.3746437173245854,-0.04395505986412179,1.0092812089420653,0.31283978942130164,7261,0.004374316539499712,5,own_lags_only
ftse250,full,baseline,target,9,-0.11878948689442176,0.07564118016495021,0.1163141600033913,-0.26704620001772417,0.02946722622888065,-0.2471738893506282,0.10090131646843066,0.014299128119777228,-0.4449404696287523,-0.049407309072504124,1.1458974086096252,0.25183760361061525,7260,0.004730534921871921,5,own_lags_only
ftse250,full,baseline,target,10,-0.13822063459069744,0.08543294021936511,0.1056874791004786,-0.305669197420653,0.029227928239258155,-0.2635406397493849,0.11582381556428128,0.02288446561442001,-0.49055531825537624,-0.036525961243393607,0.9830535023587639,0.32558110721816513,7259,0.005375718973685162,5,own_lags_only
ftse250,full,baseline,target,11,-0.16297199366195994,0.0821201881342283,0.04719405238423304,-0.3239275624050474,-0.002016424918872467,-0.26569105055618314,0.12304262474040213,0.030823679812666142,-0.5068545950473713,-0.02452750606499496,0.7848916566489971,0.4325170942622586,7258,0.006127000303304708,5,own_lags_only
